30/11/2011	16.09
30/11/2011	0.18
30/11/2011	
01/12/2011	20.96
01/12/2011	17.92
01/12/2011	
02/12/2011	21.88
02/12/2011	28.88
02/12/2011	
03/12/2011	23.54
03/12/2011	36.79
03/12/2011	
04/12/2011	26.04
04/12/2011	46.25
04/12/2011	
05/12/2011	29.63
05/12/2011	61.33
05/12/2011	
06/12/2011	32.46
06/12/2011	82.00
06/12/2011	
07/12/2011	35.63
07/12/2011	104.50
07/12/2011	
08/12/2011	40.08
08/12/2011	118.63
08/12/2011	
09/12/2011	43.42
09/12/2011	136.17
09/12/2011	
10/12/2011	45.83
10/12/2011	150.13
10/12/2011	
11/12/2011	48.79
11/12/2011	160.13
11/12/2011	
12/12/2011	53.33
12/12/2011	167.79
12/12/2011	
13/12/2011	59.71
13/12/2011	158.42
13/12/2011	
14/12/2011	67.63
14/12/2011	173.42
14/12/2011	
15/12/2011	76.13
15/12/2011	183.08
15/12/2011	
16/12/2011	86.96
16/12/2011	188.25
16/12/2011	
17/12/2011	101.58
17/12/2011	193.58
17/12/2011	
18/12/2011	122.96
18/12/2011	196.63
18/12/2011	
19/12/2011	150.21
19/12/2011	199.13
19/12/2011	
20/12/2011	184.46
20/12/2011	200.00
20/12/2011	
21/12/2011	200.00
21/12/2011	200.00
21/12/2011	
22/12/2011	200.00
22/12/2011	200.00
22/12/2011	
23/12/2011	200.00
23/12/2011	200.00
23/12/2011	
24/12/2011	200.00
24/12/2011	200.00
24/12/2011	
25/12/2011	200.00
25/12/2011	200.00
25/12/2011	
26/12/2011	200.00
26/12/2011	200.00
26/12/2011	
27/12/2011	200.00
27/12/2011	200.00
27/12/2011	
28/12/2011	200.00
28/12/2011	200.00
28/12/2011	
29/12/2011	200.00
29/12/2011	200.00
29/12/2011	
30/12/2011	200.00
30/12/2011	200.00
30/12/2011	
31/12/2011	200.00
31/12/2011	200.00
31/12/2011	
01/01/2012	200.00
01/01/2012	200.00
01/01/2012	
02/01/2012	200.00
02/01/2012	200.00
02/01/2012	
03/01/2012	200.00
03/01/2012	200.00
03/01/2012	
04/01/2012	200.00
04/01/2012	200.00
04/01/2012	
05/01/2012	200.00
